,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,2.973,7.62,7.45,7.64,7.36,7.4,2638654.0,1.14525,19819896.0,26.276,2.6310000000000002,438912.0,175564.8
1,603998,方盛制药,2.929,12.3,12.01,12.38,11.95,11.95,3090137.0,0.72675,37648125.0,76.875,5.303,530051.8581,522991.9656
2,603997,继峰股份,3.089,11.68,11.31,11.95,11.29,11.33,1836158.0,1.07378,21329524.0,19.797,4.462,735840.0,199728.0
3,603996,中新科技,0.221,18.13,17.94,18.14,17.8,18.09,1622700.0,1.57124,29171969.0,46.487,3.831,544171.95,187237.575
4,603993,洛阳钼业,-0.303,6.59,6.5,6.65,6.3,6.61,160380492.0,1.2381,1037847156.0,109.833,3.818,14233899.544197,8536508.530641
5,603991,至正股份,2.514,27.32,26.78,27.59,26.5,26.65,537750.0,2.87567,14486485.0,40.776,4.588,203629.614536,51088.4
6,603990,麦迪科技,1.719,32.55,32.28,32.7,31.58,32.0,190200.0,0.9510000000000001,6114001.0,43.4,6.421,263403.063,65100.0
7,603989,艾华集团,1.001,37.34,36.98,37.6,36.5,36.97,1041780.0,1.2347000000000001,38746321.0,42.432,6.344,1120200.0,315056.25
8,603988,中电电机,1.133,48.21,47.68,48.94,47.0,47.67,341600.0,0.28467000000000003,16433135.0,160.7,5.86,578520.0,578520.0
9,603987,康德莱,2.705,12.15,11.89,12.17,11.82,11.83,1394938.0,0.7339,16727861.0,19.597,3.199,383253.525,230936.81175
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0.0,0.0,0.0,77.049,20.619,3306111.821008,2403497.3492
11,603985,恒润股份,1.548,36.73,36.45,36.9,36.0,36.17,329100.0,1.6455000000000002,11978200.0,23.267,3.012,293840.0,73460.0
12,603980,吉华集团,2.373,20.28,19.81,20.3,19.76,19.81,2409077.0,2.40908,48169729.0,21.213,2.615,1014000.0,202800.0
13,603979,金诚信,0.096,10.39,10.37,10.43,10.17,10.38,2990974.0,1.23004,30818893.0,24.738,1.599,607815.0,252643.57248
